"Zone","Population","Waste_Generated_kg","Recycled_kg","Organic_Percent","Plastic_Percent","Collection_Frequency","Smart_Bins_Used","Complaint_Count","Sensor_Failure_Rate"
"North",11482,6876.8,3871.6,13.6,37.7,6,"No",15,0.05
"South",8016,3535.3,1722.4,75.5,55.5,7,"Yes",6,0.01
"East",6552,3628.4,966.8,43.4,38.6,7,"No",0,0.03
"West",9564,3895.6,1269.6,25.2,7,7,"No",25,0.01
"East",6922,6322.7,1478.3,47.5,45.2,2,"Yes",16,0.18
"North",9265,2694.9,1798.3,52.3,45.3,5,"No",14,0.21
"East",6435,1956,3201.9,86,36.2,1,"No",16,0.05
"West",10308,5963.8,2674.4,83.5,20.5,2,"Yes",13,0.12
"North",8983,652.9,1795.8,39.9,51.2,2,"No",2,0.22
"East",10719,3031.4,665.1,46,15,5,"No",4,0.05
"East",13570,7581.3,1274.9,64,48.9,1,"No",6,0.01
"West",6059,5965.9,1755.1,85.4,7.5,6,"Yes",28,0.22
"North",13538,7810.3,3958.7,11.2,52.4,4,"No",8,0.07
"East",8420,2752.4,2943.8,25.4,44.5,4,"No",10,0.14
"North",12728,7815.6,2651,33.2,16.3,3,"No",4,0.25
"South",12993,1128.6,2353.4,38.1,21.8,4,"No",14,0.1
"North",13538,5924,2434.7,28.1,57.2,1,"No",3,0.07
"South",5645,4681.7,3038.2,61,25.8,4,"No",19,0.19
"North",5534,460.1,2277,52.6,44.7,1,"No",4,0.12
"North",13969,2225.1,1395.5,58.8,59.4,1,"No",0,0.25
"North",11822,5930.3,3174.5,23.8,38,2,"Yes",14,0.21
"East",6014,1869.2,3033.1,33.6,8.7,7,"Yes",25,0.2
"South",7881,3977.9,929.5,27.9,7.2,2,"No",29,0.12
"East",10869,1067.1,2995.5,44.8,51.6,7,"No",17,0.04
"North",8466,2752.4,598.3,75,43.1,7,"No",25,0.24
"East",7800,1197,2566.8,40.2,32.4,6,"No",19,0.18
"South",14656,3179.7,2895.2,52.2,54.5,1,"No",28,0.07
"West",7638,7946.2,1280.4,83.6,28.1,6,"Yes",21,0.2
"South",11017,1522.1,3286.5,65,17.6,6,"Yes",21,0.03
"West",9070,4574.4,2649.4,29,26.4,5,"Yes",24,0.13
"North",5458,2705.5,1859.9,60.7,26.1,4,"Yes",5,0.04
"North",9439,6363.4,3102.3,54.3,33.9,5,"Yes",23,0.08
"North",13262,3246.9,728.2,29.1,23.1,1,"No",15,0.02
"West",9060,5338.7,683.9,85.5,20.6,3,"No",28,0.07
"West",5611,6543.8,3538.2,63.1,20.2,2,"No",22,0
"North",11589,4895.4,3123.9,32.4,5.8,4,"Yes",25,0.03
"East",8542,5571.5,1501.8,58.8,50.6,5,"Yes",6,0.24
"West",8256,7933.9,523.2,15.9,43.5,6,"Yes",22,0.16
"North",6364,4988,1104.8,23.5,18.9,4,"Yes",23,0.09
"South",11931,5881.4,1252.9,23.4,26.2,7,"Yes",19,0.01
"West",5576,2276,3538.2,23.9,25.2,2,"No",17,0.08
"West",11269,1163.2,3076.1,82.1,9.6,2,"No",10,0.13
"South",7362,5507.7,420.9,23.3,47.2,2,"No",29,0.04
"East",14780,5325.6,1672.8,59.6,59.3,6,"No",26,0.12
"East",8235,2282.8,1145.1,25.9,16.9,4,"No",15,0.07
"South",11380,491.1,1940.9,82.8,18.5,1,"No",23,0.19
"West",8616,1678.8,3366.3,55.8,41.1,7,"Yes",19,0.1
"North",9302,1104.4,1371.5,31,44.4,6,"No",26,0.11
"East",5133,4322.6,3072.9,59.2,28.8,1,"No",2,0.24
"North",14486,5356.1,2509.3,16.2,16.9,3,"No",2,0.08
"North",13859,2435.5,3361.9,82.6,44.6,6,"No",20,0.06
"East",9912,7972.1,741.7,82.6,50.6,7,"No",6,0.12
"West",12977,5579.7,304.4,63.6,43.2,3,"No",3,0.01
"East",14841,2264.3,2938.4,87,51.7,6,"Yes",30,0.03
"South",6830,6683.9,3415.1,81.5,15.6,2,"No",16,0.1
"West",11372,2402.7,911.5,72.3,19.9,1,"No",9,0.01
"West",6947,6322.7,3684.2,62.9,49.3,5,"Yes",22,0.13
"North",11822,6410.4,900.3,11.2,22.9,5,"Yes",15,0.17
"East",9912,6790.4,834,35.6,11.1,5,"No",15,0.2
"North",9290,1104.4,522.7,73.9,12.2,5,"No",20,0.25
"South",13392,6815.7,3889.3,11.2,45.3,2,"Yes",15,0.07
"North",10177,2418.6,3301,77.4,51.9,2,"Yes",15,0.12
"East",6552,5313.7,966.8,56.4,26.1,5,"Yes",2,0.06
"North",8950,6444.4,3457.7,55.8,10.2,5,"Yes",28,0.13
"South",7362,3279.3,1722.4,39,21.5,6,"Yes",26,0.19
"North",10734,1067.1,665.1,37.1,18.2,2,"No",12,0.13
"East",10719,3031.4,246.4,15.9,46.1,7,"Yes",15,0.03
"South",11160,5713.7,3991,64.7,22.1,1,"Yes",4,0.24
"South",12366,941.3,1361.5,55.3,22,4,"No",12,0.07
"North",9558,3152.8,3159.2,83.7,8.1,2,"No",20,0.03
"South",12858,5274.5,170.8,18.3,17.6,4,"Yes",8,0.23
"East",10338,752.4,3280.5,44.8,51.6,4,"No",20,0.14
"East",9488,4808.9,295,70.2,43.1,7,"Yes",15,0.04
"South",8841,6398.4,1137.4,11.2,18.3,6,"No",18,0.24
"South",8238,7094.7,2211,85.6,9.3,4,"No",17,0.04
"West",12995,4315.1,304.4,45.2,12.5,2,"Yes",15,0.1
"South",5318,1427.5,1708.4,56.9,5.4,7,"No",11,0.24
"South",12387,483.9,3666,81.7,51.2,1,"No",7,0.03
"North",11778,6410.4,2510.1,19.4,7.4,6,"No",29,0.14
"South",8016,2491.5,1886.1,68.4,27.9,5,"Yes",17,0.1
"North",11482,7129.4,502.5,63.3,26.8,3,"No",4,0.13
"West",9564,6934.8,3076.1,64.1,41.1,7,"No",17,0.04
"East",12515,1708.6,1664.1,76.4,47.3,6,"Yes",25,0.24
"South",11160,2424.4,2292,68.2,44.6,2,"No",11,0.14
"East",13612,2179.8,3286.5,44.8,25.3,3,"Yes",17,0.11
"East",13777,542,3662,83.3,51.2,4,"No",26,0.03
"West",7289,5038.6,414.5,30.6,15,2,"No",28,0.12
"South",7027,2493.7,3415.1,63.2,44.6,4,"No",8,0.06
"North",11822,4895.4,3011,42.7,55.7,6,"Yes",28,0.23
"East",10085,5649.7,1997.2,62.1,45.3,4,"Yes",28,0.17
"South",14069,3564.5,3006.7,47.8,50.1,4,"No",19,0.22
"East",14217,2766.7,2556.4,85.2,12.8,1,"Yes",24,0.24
"East",5435,2015.3,1708.4,21.9,30.3,6,"Yes",20,0.2
"South",12614,483.9,1808.4,60.8,7,1,"No",16,0.02
"South",12638,7355.4,2304.1,88.4,33.7,3,"No",12,0.19
"North",8493,337.3,2917.2,17.8,44.4,4,"Yes",23,0.12
"East",9547,4155.2,2351.3,16.2,26.3,4,"Yes",9,0.21
"North",8293,2179.3,1940.8,39.9,17.3,2,"No",2,0.05
"North",9439,5010.5,363.3,69.5,43.1,4,"Yes",16,0
"West",13235,2832.7,3073.6,67.1,58.8,6,"No",12,0.09
"West",7521,5507.7,1922.4,14,47.2,5,"Yes",17,0.24
"East",7329,4972.6,3398.8,63.2,10.2,7,"Yes",0,0.07
